Column1;date;username;tweet;location;label
44;22/12/2022 09:22;danialzanif;Anies Baswedan tinggalkan utang untuk jakarta  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/r9us5zigIL;ACEH;0
45;22/12/2022 09:10;sitohang76;Bagus pidatonya @aniesbaswedan ini ya.;ACEH;1
46;22/12/2022 09:10;awaluddin7S;Anies Baswedan ngaku Pribumi padahal Antek yaman. Anies merusak negara #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/dzp8uBHzWd;ACEH;0
47;22/12/2022 09:07;KathyHargrove20;Biadab kelakuan Anies Baswedan penghianat NKRI memecah belah masyarakat #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/6sRBpy1ssV;ACEH;0
48;21/12/2022 19:43;bang_tigor21;@jajangbunase Anies Baswedan gak bener.;ACEH;0
49;21/12/2022 15:14;mangunsong63;@Mdy_Asmara1701 @aniesbaswedan Semoga Kadrun/Kadrunwaty sadar...  https://t.co/VaFwyp8yeh;ACEH;0
50;21/12/2022 11:08;MeifddyMukuan;Anies Baswedan effect  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/sBsOVaUw8L;ACEH;0
51;21/12/2022 10:52;Wilson_P535;@twhandayani78 @nusantara_one Untuk mengingatkan orang2 bodoh dan orang2 haus kekuasaan yg mendukung si @aniesbaswedan;ACEH;0
52;21/12/2022 09:42;bang_tigor21;Anies Baswedan melecehkan batik.. #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/V7wst37qcs;ACEH;0
53;21/12/2022 09:33;danialzanif;Anies Baswedan melecehkan batik, bajingan  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/CIXOwxnHHU;ACEH;0
54;21/12/2022 09:32;danialzanif;Anies Baswedan menghina budaya batik, bangsat  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/14OCVNhHVo;ACEH;0
55;21/12/2022 06:15;Khatibalatief;@TeddGus @aniesbaswedan Penting utk memahami apa itu fakta, apa itu fenomena, apa itu khayalan dgn demikian tdk saling nuduh;ACEH;1
56;20/12/2022 10:42;sitohang76;@YoutubeILC @prabowo @ganjarpranowo @aniesbaswedan @airlangga_hrt Di kandang kadrun masih ada pilih yg lain  😅😅😅;ACEH;0
57;20/12/2022 10:20;Muhamma67284821;@NasDem Saya yakin pilihan NasDem untuk Anies Baswedan sangat tepat,, saya yg sebelumnya penduduk yang lain saat ini mantap bersama pilihan NasDem;ACEH;1
58;20/12/2022 10:01;KathyHargrove20;Biadab kelakuan Anies Baswedan penghianat NKRI memecah belah masyarakat #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/cCGIbYJwDn;ACEH;0
59;20/12/2022 09:53;Earleen98211194;Tolak Politik Yang Tak Punya Makna Apa-apa Dari Anies Baswedan. #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/eARGH9FM18;ACEH;0
60;20/12/2022 09:44;bang_tigor21;Anies Baswedan lecehkan batik..!!! #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/qtBvwIpohg;ACEH;0
61;20/12/2022 09:11;danialzanif;Anies Baswedan melecehkan batik, penghina budaya #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/VEsHM3vfvg;ACEH;0
62;20/12/2022 09:10;danialzanif;Anies Baswedan onta yaman perusak perdamaian  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/41kWrlooMt;ACEH;0
63;20/12/2022 02:09;PakpahanPolma;@aniesbaswedan @InfokomJakmania @Persija_Jkt Basi... Dasar bangke.;ACEH;0
64;20/12/2022 02:07;PakpahanPolma;@YoutubeILC @prabowo @ganjarpranowo @aniesbaswedan @airlangga_hrt Polling bohong ini.;ACEH;0
65;20/12/2022 02:00;PakpahanPolma;@FerdinandHutah7 @NasDem @aniesbaswedan Anis pun anjlok, doorpricenya yg naik.😀;ACEH;0
66;19/12/2022 22:57;BangBarat_BB;@YoutubeILC @prabowo @ganjarpranowo @aniesbaswedan @airlangga_hrt @AgusYudhoyono 💪;ACEH;1
67;19/12/2022 09:18;KathyHargrove20;Biadab kelakuan Anies Baswedan penghianat NKRI memecah belah masyarakat #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/saeJPbiz81;ACEH;0
68;19/12/2022 09:17;danialzanif;Anies Baswedan rusak budaya Indonesia  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/6DFNjxTPha;ACEH;0
69;19/12/2022 09:17;danialzanif;Anies Baswedan budak FPI dan HTI  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/9TEKOg7Y9e;ACEH;0
70;19/12/2022 09:16;danialzanif;Anies Baswedan perusak persatuan  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/QDN1w8uPE7;ACEH;0
71;19/12/2022 09:14;danialzanif;Indonesia bisa hancur di tangan anies baswedan!  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/0H7OmsDeEm;ACEH;0
72;18/12/2022 18:37;PakpahanPolma;@LANGKAHANIES @aniesbaswedan Ya jawara itu bodyguardnya, gmn sih! Sudah dibayar mahal jg masa jawara nggak diakui?;ACEH;0
73;18/12/2022 18:28;PakpahanPolma;@LANGKAHANIES @aniesbaswedan Salah org mas. Mau hidupmu sengsara?;ACEH;0
74;18/12/2022 18:25;PakpahanPolma;@Sukardi2017 @aniesbaswedan Pencak silat lidah?;ACEH;0
75;18/12/2022 15:04;PakpahanPolma;@LANGKAHANIES @bos_sir @aniesbaswedan Masa bodo;ACEH;0
76;18/12/2022 12:53;ongapican;@HermanBudiSant4 @aniesbaswedan @aniesfor2024 @anies_riau @kit_cheh @bawaslu_RI Bawaslu sudah jadi BuzzRp si Sontoloyo;ACEH;0
77;18/12/2022 10:01;MeifddyMukuan;Jejak Kebohongan Anies Baswedan sulit hilang #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/eZdc5JhK97;ACEH;0
78;17/12/2022 16:45;sitohang76;Apakah yg diomongin ini @aniesbaswedan Bacalonnya @NasDem itu ?;ACEH;0
79;17/12/2022 12:23;Ekahermansyah11;Anies Baswedan di dukung kaum radikal   #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/nJCH1Osy9h;ACEH;0
80;17/12/2022 12:13;mangunsong63;@MartinS85825235 @aniesbaswedan @AniesIndonesia @kebijakananies @DKIJakarta @Humas_DKI @PKSDKIJakarta @rethiesri @andianwar75 @Akun___Receh @HenryII63936538 Bacot doang yg digedein...  https://t.co/UJm5mxeIKb;ACEH;0
81;17/12/2022 09:27;KathyHargrove20;Biadab kelakuan Anies Baswedan penghianat NKRI memecah belah masyarakat #HTIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal  https://t.co/bYv5rM0ztR;ACEH;0
82;17/12/2022 08:54;PutrantoL;@FerdinandHutah7 @ImanFasqual @aniesbaswedan Terlalu pandai menata kata akhirnya kata2nya kebablasan bang;ACEH;0
83;16/12/2022 21:00;Khatibalatief;Di antara para calon presiden yg sudah disebut sebut hanya Pak @aniesbaswedan yg berani menampilkan identity dgn jelas. Sementara yg lain takut pd bayang banyangnya sendiri. Jangan ragu pak Anies perlihatkan identitas bpk dgn jelas krn itulah power of sympathy;ACEH;0
84;16/12/2022 19:17;Topan119;"@NapiPKS @aniesbaswedan @NasDem Bahaya kalau sang onta naik jadi pemimpin, bisa"" semua budaya Indonesia pelanggaran dan haram bagi dia dan kelompok nya.";ACEH;0
85;16/12/2022 13:25;Ekahermansyah11;Anies Baswedan Wan Yaman sebut batik jadi jarik  #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/o9OsVPIjBV;ACEH;0
86;16/12/2022 11:00;MeifddyMukuan;Anies Baswedan memang tidak berguna lagi #HTIFPIDukungAnies #AniesDidukungKHILAFAH #AniesNasdemOut  #TenggelamkanAniesBaswedan #TenggelamkanPartaiNasdem #GoodByeNasdemAnies #AniesDidukungKoruptor #AniesPendukungKhilafah #AniesPendukungOrmasRadikal #PribumiLebihBerkualitas  https://t.co/jPfky4svth;ACEH;0
